School Name,Town,Religious Denomination,Percentage of pupils with LOW achievement at Key Stage 2,Percentage of pupils with MEDIUM achievement at Key Stage 2,Percentage of pupils with HIGH achievement at Key Stage 2,Percentage of pupils receiving FREE SCHOOL MEALS (i.e. from disadvantaged backgrounds),Percentage of pupils with ENGLISH AS AN ADDITIONAL LANGUAGE
Stonebow Primary School Loughborough,Loughborough,Does not apply,0.05,0.70,0.25,0.22,0.09
Hallbrook Primary School,Broughton Astley,Does not apply,0.00,0.66,0.34,0.15,0.03
Woodland Grange Primary School,Leicester,Does not apply,0.02,0.54,0.45,0.13,0.61
Arnesby Church of England Primary School,Leicester,Church of England,0.00,0.86,0.14,0.00,0.00
The Pochin School,Leicester,None,0.21,0.32,0.47,0.05,0.11
Barrow Hall Orchard Church of England Primary School,Loughborough,Church of England,0.08,0.57,0.35,0.16,0.01
Barwell Church of England Academy,Leicester,Church of England,0.11,0.55,0.35,0.35,0.00
Belton Church of England Primary School,Loughborough,Church of England,0.00,0.47,0.53,0.13,0.07
Billesdon Church of England Primary School,Leicester,Church of England,0.00,0.58,0.42,0.08,0.00
Bottesford Church of England Primary School,Nottingham,Church of England,0.07,0.47,0.47,0.09,0.00
St Hardulph's Church of England Primary School,Derby,Church of England,0.10,0.60,0.30,0.10,0.00
"Orchard Church of England Primary School, Broughton Astley",Leicester,Church of England,0.07,0.52,0.41,0.21,0.00
St Edward's Church of England Primary School,Derby,Church of England,0.12,0.56,0.32,0.28,0.04
"All Saints Church of England Primary School, Coalville",Coalville,Church of England,0.17,0.70,0.13,0.39,0.10
Cossington Church of England Primary School,Leicester,Church of England,0.14,0.71,0.14,0.07,0.00
Croft Church of England Primary School,Leicester,Church of England,0.00,0.62,0.38,0.23,0.00
Croxton Kerrial Church of England Primary School,Grantham,Church of England,0.00,0.55,0.45,0.45,0.00
Diseworth Church of England Primary School,Derby,Church of England,0.00,0.50,0.50,0.17,0.00
Fleckney Church of England Primary School,Leicester,Church of England,0.07,0.53,0.40,0.10,0.00
Frisby Church of England Primary School,Melton Mowbray,Church of England,0.00,0.65,0.35,0.00,0.00
Great Glen St Cuthbert's Church of England Primary School,Leicester,Church of England,0.10,0.58,0.33,0.15,0.10
Harby Church of England Primary School,Melton Mowbray,Church of England,0.00,0.69,0.31,0.23,0.00
Higham-on-the-Hill Church of England Primary School,Nuneaton,Church of England,0.00,0.70,0.30,0.18,0.18
"St Mary's Church of England Primary School, Hinckley",Hinckley,Church of England,0.07,0.63,0.30,0.22,0.15
Hose Church of England Primary School,Melton Mowbray,Church of England,0.00,0.63,0.38,0.00,0.11
Houghton-on-the-Hill Church of England Primary School,Leicester,Church of England,0.07,0.54,0.39,0.17,0.03
Husbands Bosworth Church of England Primary School,Lutterworth,Church of England,0.00,0.67,0.33,0.33,0.00
Kibworth Church of England Primary School,Leicester,Church of England,0.01,0.49,0.50,0.18,0.01
Claybrooke Primary School,Lutterworth,None,0.07,0.67,0.27,0.27,0.00
Long Clawson Church of England Primary School,Melton Mowbray,Church of England,0.10,0.60,0.30,0.20,0.00
Long Whatton Church of England Primary School and Community Centre,Loughborough,Church of England,0.06,0.53,0.41,0.24,0.00
Lubenham All Saints Church of England Primary School,Market Harborough,Church of England,0.11,0.44,0.44,0.20,0.00
Market Harborough Church of England Academy,Market Harborough,Church of England,0.16,0.74,0.11,0.31,0.07
"Great Bowden Academy, A Church of England Primary School",Market Harborough,Church of England,0.00,0.44,0.56,0.11,0.00
Measham Church of England Primary School,Swadlincote,Church of England,0.11,0.54,0.36,0.39,0.10
Old Dalby Church of England Primary School,Melton Mowbray,Church of England,0.00,0.60,0.40,0.00,0.00
Packington Church of England Primary School,Ashby-de-la-Zouch,Church of England,0.00,0.33,0.67,0.06,0.00
Queniborough Church of England Primary School,Leicester,Church of England,0.04,0.50,0.46,0.12,0.04
St Bartholomew's Church of England Primary School,Loughborough,Church of England,0.02,0.57,0.42,0.12,0.02
Redmile Church of England Primary School,Nottingham,Church of England,0.09,0.82,0.09,0.25,0.00
Rothley Church of England Primary School,Leicester,Church of England,0.04,0.55,0.41,0.16,0.04
Scalford Church of England Primary School,Melton Mowbray,Church of England,0.00,0.67,0.33,0.00,0.00
Sharnford Church of England Primary School,Hinckley,Church of England,0.14,0.29,0.57,0.29,0.00
Sheepy Magna Church of England Primary School,Atherstone,Church of England,0.05,0.50,0.45,0.10,0.00
St Botolph's Church of England Primary School,Loughborough,Church of England,0.03,0.51,0.46,0.26,0.06
South Kilworth Church of England Primary School,Lutterworth,Church of England,0.09,0.73,0.18,0.25,0.08
Manorfield Church of England Primary School Stoney Stanton,Leicester,Church of England,0.02,0.61,0.38,0.16,0.07
Swannington Church of England Primary School,Coalville,Church of England,0.21,0.43,0.36,0.14,0.07
Swithland St Leonard's Church of England Primary School,Loughborough,Church of England,0.00,0.70,0.30,0.00,0.00
Thrussington Church of England Primary School,Leicester,Church of England,0.00,0.53,0.47,0.06,0.00
Church Hill Church of England Junior School,Leicester,Church of England,0.07,0.56,0.36,0.23,0.22
"Thurnby, St Luke's Church of England Primary School",Leicester,Church of England,0.03,0.58,0.39,0.21,0.09
Ullesthorpe Church of England Primary School,Lutterworth,Church of England,0.11,0.44,0.44,0.20,0.00
Waltham on the Wolds Church of England Primary School,Melton Mowbray,Church of England,0.00,0.86,0.14,0.29,0.00
Whitwick St John The Baptist Church of England Primary School,Coalville,Church of England,0.09,0.52,0.39,0.24,0.00
Witherley Church of England Primary School,Atherstone,Church of England,0.06,0.50,0.44,0.18,0.00
Woodhouse Eaves St Paul's Church of England Primary School,Loughborough,Church of England,0.07,0.40,0.53,0.20,0.00
Wymeswold Church of England Primary School,Loughborough,Church of England,0.00,0.50,0.50,0.11,0.00
Hathern Church of England Primary School,Loughborough,Church of England,0.00,0.74,0.26,0.16,0.00
Hallaton Church of England Primary School,Market Harborough,Church of England,0.06,0.41,0.53,0.18,0.00
Sherrier Church of England Primary School,Lutterworth,Church of England,0.03,0.47,0.50,0.13,0.02
Ashby-de-la-Zouch Church of England Primary School,Ashby-de-la-Zouch,Church of England,0.09,0.56,0.36,0.27,0.08
Townlands Church of England Primary School,Leicester,Church of England,0.07,0.50,0.43,0.30,0.07
Sir John Moore Church of England Primary School,Swadlincote,Church of England,0.00,0.68,0.32,0.00,0.00
"St Mary's Church of England Primary School, Bitteswell",Lutterworth,Church of England,0.06,0.38,0.56,0.00,0.13
Viscount Beaumont's Church of England Primary School,Coalville,Church of England,0.00,0.55,0.45,0.18,0.00
Kilby St Mary's Church of England Primary School,Wigston,Church of England,0.00,0.27,0.73,0.15,0.00
"St Andrew's Church of England Primary School, North Kilworth",Lutterworth,Church of England,0.00,0.86,0.14,0.14,0.00
St Michael & All Angels Church of England Primary School,Leicester,Church of England,0.00,0.75,0.25,0.00,0.00
"All Saints Church of England Primary School, Sapcote",Leicester,Church of England,0.15,0.52,0.33,0.24,0.00
Snarestone Church of England Primary School,Swadlincote,Church of England,0.25,0.42,0.33,0.17,0.00
"St Margaret's Church of England Primary School, Stoke Golding",Nuneaton,Church of England,0.06,0.50,0.44,0.14,0.03
Thurlaston Church of England Primary School,Leicester,Church of England,0.06,0.69,0.25,0.25,0.00
St Peter's Church of England Primary School Whetstone,Leicester,Church of England,0.16,0.53,0.31,0.25,0.03
Gilmorton Chandler Church of England Primary School,Lutterworth,Church of England,0.07,0.52,0.41,0.17,0.00
Swinford Church of England Primary School,Lutterworth,Church of England,0.00,0.54,0.46,0.00,0.00
Richard Hill Church of England Primary School,Leicester,Church of England,0.14,0.39,0.46,0.17,0.03
All Saints Church of England Primary School,Wigston,Church of England,0.10,0.58,0.32,0.47,0.25
Church Langton Church of England Primary School,Market Harborough,Church of England,0.03,0.59,0.38,0.10,0.00
St Peter's Church of England Primary Academy,Nuneaton,Church of England,0.06,0.53,0.41,0.09,0.00
Saint Peters Catholic Voluntary Academy,,Roman Catholic,0.11,0.44,0.44,0.04,0.07
"Saint Peter's Catholic Primary School, A Voluntary Academy",Hinckley,Roman Catholic,0.07,0.59,0.33,0.07,0.11
St Charles Catholic Primary Voluntary Academy,Swadlincote,Roman Catholic,0.06,0.53,0.41,0.18,0.18
"Saint Winefride's Catholic Voluntary Academy, Shepshed, Leicestershire",Loughborough,Roman Catholic,0.13,0.67,0.21,0.12,0.16
Holy Cross School A Catholic Voluntary Academy,Coalville,Roman Catholic,0.12,0.50,0.38,0.19,0.15
Sacred Heart Catholic Voluntary Academy,Loughborough,Roman Catholic,0.04,0.56,0.41,0.07,0.11
Saint Francis Catholic Primary School,Melton Mowbray,Roman Catholic,0.09,0.59,0.32,0.17,0.31
"Saint John Fisher Catholic Voluntary Academy, Wigston, Leicestershire",Wigston,Roman Catholic,0.04,0.57,0.39,0.10,0.31
"Bishop Ellis Catholic Primary School, Thurmaston",Leicester,Roman Catholic,0.06,0.63,0.31,0.15,0.08
St Joseph's Catholic Voluntary Academy,Market Harborough,Roman Catholic,0.03,0.62,0.34,0.10,0.00
"Saint Clare's Primary School A Catholic Voluntary Academy, Coalville, Leicestershire",Coalville,Roman Catholic,0.15,0.59,0.26,0.29,0.14
St Peter and St Paul Church of England Academy,Leicester,Church of England,0.05,0.69,0.26,0.26,0.07
"Saint Mary's Catholic Primary School, Loughborough",Loughborough,Roman Catholic,0.15,0.37,0.48,0.03,0.41
Loughborough Church of England Primary School,Loughborough,Church of England,0.08,0.69,0.23,0.54,0.18
Wigston Birkett House Community Special School,Leics,Does not apply,0.94,0.06,0.00,0.53,0.12
Ashmount School,Loughborough,Does not apply,1.00,0.00,0.00,0.85,0.15
Forest Way School,Coalville,Does not apply,1.00,0.00,0.00,0.41,0.00
Birch Wood (Melton Area Special School),Melton Mowbray,Does not apply,1.00,0.00,0.00,0.38,0.00
Dorothy Goodman School Hinckley,Hinckley,Does not apply,1.00,0.00,0.00,0.45,0.27
